need_code,hazard_code,applicable_rooms,target_object_type,rationale
STAIR_NEGOTIATION,STAIR_NO_HANDRAIL,STAIR|ENTRANCE,STAIR,계단 이동 지지
STAIR_NEGOTIATION,STAIR_LOW_CONTRAST,STAIR|ENTRANCE,STAIR,계단 단차 시인성
STAIR_NEGOTIATION,STAIR_SLIPPERY_SURFACE,STAIR|ENTRANCE,STAIR,계단 미끄럼 완화
LOWER_LIMB_SUPPORT,STAIR_NO_HANDRAIL,STAIR,STAIR,하지 지지
LOWER_LIMB_SUPPORT,TOILET_NO_GRAB_BAR,BATHROOM,TOILET,변기 전이 지지
LOWER_LIMB_SUPPORT,LOW_TOILET,BATHROOM,TOILET,낮은 좌면 부담
LOWER_LIMB_SUPPORT,LOW_SEAT_HEIGHT,LIVING_ROOM|BEDROOM,CHAIR,낮은 좌석 부담
LOWER_LIMB_SUPPORT,LOW_BED_HEIGHT,BEDROOM,BED,침대 전이 부담
LOW_REACH_AVOIDANCE,LOW_STORAGE,KITCHEN|BEDROOM|LIVING_ROOM,CABINET,굽힘·쭈그림 회피
LOW_REACH_AVOIDANCE,FLOOR_LEVEL_OBJECT,ALL,OBJECT,바닥 물건 접근 회피
LOW_REACH_AVOIDANCE,LOW_TOILET,BATHROOM,TOILET,낮은 위치 사용 회피
HIGH_REACH_AVOIDANCE,HIGH_STORAGE,KITCHEN|BEDROOM,CABINET,과도한 상부 도달 회피
VISUAL_GUIDANCE,LOW_LIGHTING,ALL,LIGHT,시야 확보
VISUAL_GUIDANCE,NO_NIGHT_LIGHT,BEDROOM|HALLWAY|BATHROOM|ENTRANCE,LIGHT,야간 시야 확보
VISUAL_GUIDANCE,STAIR_LOW_CONTRAST,STAIR|ENTRANCE,STAIR,단차 대비 강화
VISUAL_GUIDANCE,THRESHOLD_LOW_CONTRAST,ENTRANCE|BATHROOM,THRESHOLD,문턱 식별
SIT_TO_STAND_SUPPORT,TOILET_NO_GRAB_BAR,BATHROOM,TOILET,일어서기 지지
SIT_TO_STAND_SUPPORT,LOW_TOILET,BATHROOM,TOILET,변기 좌면 높이
SIT_TO_STAND_SUPPORT,LOW_SEAT_HEIGHT,LIVING_ROOM|BEDROOM,CHAIR,의자 좌면 높이
SIT_TO_STAND_SUPPORT,LOW_BED_HEIGHT,BEDROOM,BED,침대 높이
WALKING_SUPPORT,PATH_OBSTACLE,ALL,PATH,보행 동선 장애물 제거
WALKING_SUPPORT,NARROW_PATH,ALL,PATH,통로 폭 확보
WALKING_SUPPORT,LOOSE_RUG,ALL,RUG,걸림 방지
WALKING_SUPPORT,THRESHOLD_HIGH,ENTRANCE|BATHROOM,THRESHOLD,단차 제거
ACCESSIBILITY_SUPPORT,PATH_OBSTACLE,ALL,PATH,생활 동선 접근성
ACCESSIBILITY_SUPPORT,NARROW_PATH,ALL,PATH,유효 통로 폭
ACCESSIBILITY_SUPPORT,THRESHOLD_HIGH,ENTRANCE|BATHROOM,THRESHOLD,이동 장벽 제거
ORIENTATION_SUPPORT,LOW_LIGHTING,ALL,LIGHT,공간 인지 보조
ORIENTATION_SUPPORT,UNCLEAR_ROUTE,ALL,PATH,경로 안내
NIGHTTIME_SAFETY,NO_NIGHT_LIGHT,BEDROOM|HALLWAY|BATHROOM,LIGHT,야간 이동 안전
TOILET_ACCESS,PATH_OBSTACLE,BEDROOM|HALLWAY|BATHROOM,PATH,화장실 이동 경로
TOILET_ACCESS,NO_NIGHT_LIGHT,BEDROOM|HALLWAY|BATHROOM,LIGHT,야간 화장실 이동
FALL_IMPACT_REDUCTION,HARD_SHARP_FURNITURE_EDGE,ALL,FURNITURE,낙상 충격 완화
ALERT_SUPPORT,NO_VISUAL_ALERT,ALL,ALERT_DEVICE,청각 보완
WALKING_SUPPORT,SLIPPERY_FLOOR,KITCHEN|BATHROOM,FLOOR,젖거나 미끄러운 바닥에서 보행 안정성 확보
ACCESSIBILITY_SUPPORT,SLIPPERY_FLOOR,KITCHEN|BATHROOM,FLOOR,일상생활 동선의 미끄럼 위험 완화
LOWER_LIMB_SUPPORT,SLIPPERY_FLOOR,BATHROOM|KITCHEN,FLOOR,하지 지지 저하 시 미끄럼 위험 완화
FALL_IMPACT_REDUCTION,SLIPPERY_FLOOR,KITCHEN|BATHROOM,FLOOR,골절 취약 사용자의 미끄럼 노출 감소
