evidence_id,mapping_type,factor_1,factor_2,factor_1_display,factor_2_display,factor_aliases,factor_mapping_status,risk_factor_raw,space,space_categories,space_raw,recommendation,expected_effect,evidence_text,evidence_type_raw,evidence_type_standard,evidence_score,sms,tier,eligible,target_object,source,source_file,source_file_match_status,doi,source_url,search_text,review_status,review_note
E0001,single,일상생활의 불편함_시력,,시력,,시력|일상생활의 불편함_시력|시각기능,대표모델명_자동매핑,시력,침실,침실|주방|거실|복도|주거공간 전반,주거공간 전반(거실·주방·침실·복도 등),"거주지 내 주요 활동 공간에 밝고 고르게 분포된 조명 설치(추가 천장등, 작업등 및 간접조명 등으로 조명 균일화 및 국소 작업등 보완)하여 물체 식별성, 대비감 및 깊이 지각 향상",가정 내 조도 개선과 IADL 수행 난이도 감소(논문: 평균 조도 증가가 IADL 어려움 감소와 유의하게 연관됨); 물체 식별·대비 및 깊이 지각 향상,"공간: 침실. 개선전략: 거주지 내 주요 활동 공간에 밝고 고르게 분포된 조명 설치(추가 천장등, 작업등 및 간접조명 등으로 조명 균일화 및 국소 작업등 보완)하여 물체 식별성, 대비감 및 깊이 지각 향상. 기대효과: 가정 내 조도 개선과 IADL 수행 난이도 감소(논문: 평균 조도 증가가 IADL 어려움 감소와 유의하게 연관됨); 물체 식별·대비 및 깊이 지각 향상",단면연구,탐색적/관찰 연구,1,0.333,Tier 3,TRUE,조명,Relationship Between Home Environment Features and Dif?culty in Instrumental Activities of Daily Living and Other Patient-Reported Measures in Persons With Glaucoma,,미확인_0.45,10.1016/j.ajo.2026.02.049,https://doi.org/10.1016/j.ajo.2026.02.049,"위험요인=시력 | 모델요인=일상생활의 불편함_시력 | 별칭=시력|일상생활의 불편함_시력|시각기능 | 공간=침실|주방|거실|복도|주거공간 전반 | 개선대상=조명 | 개선전략=거주지 내 주요 활동 공간에 밝고 고르게 분포된 조명 설치(추가 천장등, 작업등 및 간접조명 등으로 조명 균일화 및 국소 작업등 보완)하여 물체 식별성, 대비감 및 깊이 지각 향상 | 기대효과=가정 내 조도 개선과 IADL 수행 난이도 감소(논문: 평균 조도 증가가 IADL 어려움 감소와 유의하게 연관됨); 물체 식별·대비 및 깊이 지각 향상 | 근거유형=탐색적/관찰 연구 | 출처=Relationship Between Home Environment Features and Dif?culty in Instrumental Activities of Daily Living and Other Patient-Reported Measures in Persons With Glaucoma",자동분류완료,
E0002,single,IADL,,IADL,,IADL|도구적 일상생활수행능력,대표모델명_자동매핑,IADL,침실,침실|주방|거실|복도|주거공간 전반,주거공간 전반(거실·주방·침실·복도 등),"일상 사용 상태로 조명 스위치/차광을 설정한 후 각 실의 조도를 디지털 광도계로 측정하여 평균 실내 조도 수준을 평가하고, 평가 결과에 따라 조명기구 교체·추가 설치 등을 통해 평균 조도 향상 유도",주택 평균 조도 파악을 통한 조명 개선으로 IADL 수행 난이도 감소 가능성(논문에서 평균 조도 증가와 IADL 어려움 감소 연관성 보고),"공간: 침실. 개선전략: 일상 사용 상태로 조명 스위치/차광을 설정한 후 각 실의 조도를 디지털 광도계로 측정하여 평균 실내 조도 수준을 평가하고, 평가 결과에 따라 조명기구 교체·추가 설치 등을 통해 평균 조도 향상 유도. 기대효과: 주택 평균 조도 파악을 통한 조명 개선으로 IADL 수행 난이도 감소 가능성(논문에서 평균 조도 증가와 IADL 어려움 감소 연관성 보고)",단면연구,탐색적/관찰 연구,1,0.333,Tier 3,TRUE,조명,Relationship Between Home Environment Features and Dif?culty in Instrumental Activities of Daily Living and Other Patient-Reported Measures in Persons With Glaucoma,,미확인_0.45,10.1016/j.ajo.2026.02.049,https://doi.org/10.1016/j.ajo.2026.02.049,"위험요인=IADL | 모델요인=IADL | 별칭=IADL|도구적 일상생활수행능력 | 공간=침실|주방|거실|복도|주거공간 전반 | 개선대상=조명 | 개선전략=일상 사용 상태로 조명 스위치/차광을 설정한 후 각 실의 조도를 디지털 광도계로 측정하여 평균 실내 조도 수준을 평가하고, 평가 결과에 따라 조명기구 교체·추가 설치 등을 통해 평균 조도 향상 유도 | 기대효과=주택 평균 조도 파악을 통한 조명 개선으로 IADL 수행 난이도 감소 가능성(논문에서 평균 조도 증가와 IADL 어려움 감소 연관성 보고) | 근거유형=탐색적/관찰 연구 | 출처=Relationship Between Home Environment Features and Dif?culty in Instrumental Activities of Daily Living and Other Patient-Reported Measures in Persons With Glaucoma",자동분류완료,
E0003,single,근력상태_의자나 침대에 앉았다가 일어나기 5회 반복,,근력상태_의자나 침대에 앉았다가 일어나기 5회 반복,,근력상태_의자나 침대에 앉았다가 일어나기 5회 반복,원문명_유지,근력상태_의자나 침대에 앉았다가 일어나기 5회 반복,욕실,욕실,"욕실, 화장실","변기 좌석 높이를 약 40 cm(comfort height)로 높이고(필요 시 교체), 변기 측면에 앉았다 일어설 때 잡을 수 있도록 벽체 보강 후 높이 80 cm의 안전손잡이 설치",앉고 일어설 때의 근력 부담 감소로 화장실 사용 시 안정성 및 독립적 수행성 향상(논문에서 변기 높이·손잡이 설치 권고 및 욕실 안전 강조),"공간: 욕실. 개선전략: 변기 좌석 높이를 약 40 cm(comfort height)로 높이고(필요 시 교체), 변기 측면에 앉았다 일어설 때 잡을 수 있도록 벽체 보강 후 높이 80 cm의 안전손잡이 설치. 기대효과: 앉고 일어설 때의 근력 부담 감소로 화장실 사용 시 안정성 및 독립적 수행성 향상(논문에서 변기 높이·손잡이 설치 권고 및 욕실 안전 강조)",,미분류,,,검토 필요,FALSE,"변기, 손잡이, 벽체",What is the evidence to support home environmental adaptation in Parkinson's disease? A call for multidisciplinary interventions,,미확인_0.46,10.1016/j.parkreldis.2015.08.025,https://doi.org/10.1016/j.parkreldis.2015.08.025,"위험요인=근력상태_의자나 침대에 앉았다가 일어나기 5회 반복 | 모델요인=근력상태_의자나 침대에 앉았다가 일어나기 5회 반복 | 별칭=근력상태_의자나 침대에 앉았다가 일어나기 5회 반복 | 공간=욕실 | 개선대상=변기, 손잡이, 벽체 | 개선전략=변기 좌석 높이를 약 40 cm(comfort height)로 높이고(필요 시 교체), 변기 측면에 앉았다 일어설 때 잡을 수 있도록 벽체 보강 후 높이 80 cm의 안전손잡이 설치 | 기대효과=앉고 일어설 때의 근력 부담 감소로 화장실 사용 시 안정성 및 독립적 수행성 향상(논문에서 변기 높이·손잡이 설치 권고 및 욕실 안전 강조) | 근거유형=미분류 | 출처=What is the evidence to support home environmental adaptation in Parkinson's disease? A call for multidisciplinary interventions",검토필요_근거유형없음,원문 논문에서 연구설계를 확인한 뒤 evidence_score를 입력해야 함
E0004,single,ADL,,ADL,,ADL|일상생활수행능력,대표모델명_자동매핑,ADL,욕실,욕실,욕실(샤워),"문턱 없는(curbless) 통합 샤워 공간 조성, 샤워 벤치 설치, 샤워 출입구 폭 확대 및 실내 회전반경 1.5 m 확보(휠체어 사용 가능성 고려)",욕실 내 이동 및 개인위생 활동의 사용성(Usability) 향상으로 ADL 수행 편의성 증가(논문에서 욕실 공간 확보·벤치 설치 권고),"공간: 욕실. 개선전략: 문턱 없는(curbless) 통합 샤워 공간 조성, 샤워 벤치 설치, 샤워 출입구 폭 확대 및 실내 회전반경 1.5 m 확보(휠체어 사용 가능성 고려). 기대효과: 욕실 내 이동 및 개인위생 활동의 사용성(Usability) 향상으로 ADL 수행 편의성 증가(논문에서 욕실 공간 확보·벤치 설치 권고)",,미분류,,,검토 필요,FALSE,"샤워, 샤워 벤치, 출입구",What is the evidence to support home environmental adaptation in Parkinson's disease? A call for multidisciplinary interventions,,미확인_0.46,10.1016/j.parkreldis.2015.08.025,https://doi.org/10.1016/j.parkreldis.2015.08.025,"위험요인=ADL | 모델요인=ADL | 별칭=ADL|일상생활수행능력 | 공간=욕실 | 개선대상=샤워, 샤워 벤치, 출입구 | 개선전략=문턱 없는(curbless) 통합 샤워 공간 조성, 샤워 벤치 설치, 샤워 출입구 폭 확대 및 실내 회전반경 1.5 m 확보(휠체어 사용 가능성 고려) | 기대효과=욕실 내 이동 및 개인위생 활동의 사용성(Usability) 향상으로 ADL 수행 편의성 증가(논문에서 욕실 공간 확보·벤치 설치 권고) | 근거유형=미분류 | 출처=What is the evidence to support home environmental adaptation in Parkinson's disease? A call for multidisciplinary interventions",검토필요_근거유형없음,원문 논문에서 연구설계를 확인한 뒤 evidence_score를 입력해야 함
E0005,single,낙상 경험,,낙상 경험,,낙상 경험|낙상경험|과거 낙상,대표모델명_자동매핑,낙상 경험,계단,계단|주거 외부,주거 외부 및 계단,"외부 계단 및 내부 계단에 견고한 난간(손잡이) 설치, 계단 가장자리에 엣징(가시적 표시) 적용, 외부 및 계단 표면에 미끄럼 방지 재질(논슬립) 적용",계단 관련 낙상·부상 위험 감소에 기여(논문에서 손잡이·엣징·미끄럼 방지 등을 포함한 저비용 개조군에서 부상률 26% 감소 보고),"공간: 계단. 개선전략: 외부 계단 및 내부 계단에 견고한 난간(손잡이) 설치, 계단 가장자리에 엣징(가시적 표시) 적용, 외부 및 계단 표면에 미끄럼 방지 재질(논슬립) 적용. 기대효과: 계단 관련 낙상·부상 위험 감소에 기여(논문에서 손잡이·엣징·미끄럼 방지 등을 포함한 저비용 개조군에서 부상률 26% 감소 보고)",클러스터 무작위 대조시험(논문에서 Keall et al.의 클러스터 RCT 결과 인용),2차 인용 RCT 근거,2,0.667,Tier 2,TRUE,"난간(손잡이), 계단 엣지, 바닥 표면",What is the evidence to support home environmental adaptation in Parkinson's disease? A call for multidisciplinary interventions,,미확인_0.46,10.1016/j.parkreldis.2015.08.025,https://doi.org/10.1016/j.parkreldis.2015.08.025,"위험요인=낙상 경험 | 모델요인=낙상 경험 | 별칭=낙상 경험|낙상경험|과거 낙상 | 공간=계단|주거 외부 | 개선대상=난간(손잡이), 계단 엣지, 바닥 표면 | 개선전략=외부 계단 및 내부 계단에 견고한 난간(손잡이) 설치, 계단 가장자리에 엣징(가시적 표시) 적용, 외부 및 계단 표면에 미끄럼 방지 재질(논슬립) 적용 | 기대효과=계단 관련 낙상·부상 위험 감소에 기여(논문에서 손잡이·엣징·미끄럼 방지 등을 포함한 저비용 개조군에서 부상률 26% 감소 보고) | 근거유형=2차 인용 RCT 근거 | 출처=What is the evidence to support home environmental adaptation in Parkinson's disease? A call for multidisciplinary interventions",검토필요_2차인용,"해당 행의 원 출처가 직접 RCT인지, 다른 RCT를 인용한 문헌인지 확인 필요"
E0006,single,일상생활의 불편함_시력,,시력,,시력|일상생활의 불편함_시력|시각기능,대표모델명_자동매핑,시력,계단,계단|현관|주거 외부|주거공간 전반,"주거 외부(현관), 계단, 주거 전체",외부 진입로 및 계단에 충분한 야간 조명(예: 센서등) 설치하고 계단 모서리·문틀·바닥 경계에 대비(명암) 높은 색 대비 표식 적용,야간 및 저시력 상황에서 시인성 향상으로 주거 내 이동 중 위험 감소(논문에서 외부 조명·대비 표식 권고),공간: 계단. 개선전략: 외부 진입로 및 계단에 충분한 야간 조명(예: 센서등) 설치하고 계단 모서리·문틀·바닥 경계에 대비(명암) 높은 색 대비 표식 적용. 기대효과: 야간 및 저시력 상황에서 시인성 향상으로 주거 내 이동 중 위험 감소(논문에서 외부 조명·대비 표식 권고),클러스터 무작위 대조시험(논문에서 Keall et al.의 개입 항목으로 외부 조명 포함 보고),2차 인용 RCT 근거,2,0.667,Tier 2,TRUE,"조명, 계단 모서리 표식",What is the evidence to support home environmental adaptation in Parkinson's disease? A call for multidisciplinary interventions,,미확인_0.46,10.1016/j.parkreldis.2015.08.025,https://doi.org/10.1016/j.parkreldis.2015.08.025,"위험요인=시력 | 모델요인=일상생활의 불편함_시력 | 별칭=시력|일상생활의 불편함_시력|시각기능 | 공간=계단|현관|주거 외부|주거공간 전반 | 개선대상=조명, 계단 모서리 표식 | 개선전략=외부 진입로 및 계단에 충분한 야간 조명(예: 센서등) 설치하고 계단 모서리·문틀·바닥 경계에 대비(명암) 높은 색 대비 표식 적용 | 기대효과=야간 및 저시력 상황에서 시인성 향상으로 주거 내 이동 중 위험 감소(논문에서 외부 조명·대비 표식 권고) | 근거유형=2차 인용 RCT 근거 | 출처=What is the evidence to support home environmental adaptation in Parkinson's disease? A call for multidisciplinary interventions",검토필요_2차인용,"해당 행의 원 출처가 직접 RCT인지, 다른 RCT를 인용한 문헌인지 확인 필요"
E0007,single,동작수행 어려움_머리보다 높은 곳에 있는 것 손 뻗쳐 닿기,,동작수행 어려움_머리보다 높은 곳에 있는 것 손 뻗쳐 닿기,,동작수행 어려움_머리보다 높은 곳에 있는 것 손 뻗쳐 닿기,원문명_유지,동작수행 어려움_머리보다 높은 곳에 있는 것 손 뻗쳐 닿기,주방,주방,"주방, 수납공간","자주 사용하는 물품은 허리~어깨 높이 수납으로 재배치하고, 상부 수납은 풀다운 선반(내리면 접근 가능한 레일식 선반)으로 교체하여 머리 위 물품 접근 최소화",위쪽 물건을 손 뻗어 꺼내는 동작 감소로 상지 사용 부담과 낙상 위험 감소에 기여(논문에서 머리 위 접근 문제와 HEA 필요성 언급),"공간: 주방. 개선전략: 자주 사용하는 물품은 허리~어깨 높이 수납으로 재배치하고, 상부 수납은 풀다운 선반(내리면 접근 가능한 레일식 선반)으로 교체하여 머리 위 물품 접근 최소화. 기대효과: 위쪽 물건을 손 뻗어 꺼내는 동작 감소로 상지 사용 부담과 낙상 위험 감소에 기여(논문에서 머리 위 접근 문제와 HEA 필요성 언급)",,미분류,,,검토 필요,FALSE,"수납장, 선반, 풀다운 선반",What is the evidence to support home environmental adaptation in Parkinson's disease? A call for multidisciplinary interventions,,미확인_0.46,10.1016/j.parkreldis.2015.08.025,https://doi.org/10.1016/j.parkreldis.2015.08.025,"위험요인=동작수행 어려움_머리보다 높은 곳에 있는 것 손 뻗쳐 닿기 | 모델요인=동작수행 어려움_머리보다 높은 곳에 있는 것 손 뻗쳐 닿기 | 별칭=동작수행 어려움_머리보다 높은 곳에 있는 것 손 뻗쳐 닿기 | 공간=주방 | 개선대상=수납장, 선반, 풀다운 선반 | 개선전략=자주 사용하는 물품은 허리~어깨 높이 수납으로 재배치하고, 상부 수납은 풀다운 선반(내리면 접근 가능한 레일식 선반)으로 교체하여 머리 위 물품 접근 최소화 | 기대효과=위쪽 물건을 손 뻗어 꺼내는 동작 감소로 상지 사용 부담과 낙상 위험 감소에 기여(논문에서 머리 위 접근 문제와 HEA 필요성 언급) | 근거유형=미분류 | 출처=What is the evidence to support home environmental adaptation in Parkinson's disease? A call for multidisciplinary interventions",검토필요_근거유형없음,원문 논문에서 연구설계를 확인한 뒤 evidence_score를 입력해야 함
E0008,single,동작수행 어려움_몸 구부리거나 쭈그려 앉거나 무릎 꿇기,,동작수행 어려움_몸 구부리거나 쭈그려 앉거나 무릎 꿇기,,동작수행 어려움_몸 구부리거나 쭈그려 앉거나 무릎 꿇기,원문명_유지,동작수행 어려움_몸 구부리거나 쭈그려 앉거나 무릎 꿇기,주방,주방,"주방, 세탁실, 수납공간",작업대 및 수납 위치를 허리 높이로 설계·배치하여 바닥 수납 최소화하고 굽히거나 쪼그려야 하는 작업을 줄임,굽힘·쪼그림 동작 감소로 일상 작업 수행의 신체적 부담 경감,공간: 주방. 개선전략: 작업대 및 수납 위치를 허리 높이로 설계·배치하여 바닥 수납 최소화하고 굽히거나 쪼그려야 하는 작업을 줄임. 기대효과: 굽힘·쪼그림 동작 감소로 일상 작업 수행의 신체적 부담 경감,,미분류,,,검토 필요,FALSE,"작업대, 수납장",What is the evidence to support home environmental adaptation in Parkinson's disease? A call for multidisciplinary interventions,,미확인_0.46,10.1016/j.parkreldis.2015.08.025,https://doi.org/10.1016/j.parkreldis.2015.08.025,"위험요인=동작수행 어려움_몸 구부리거나 쭈그려 앉거나 무릎 꿇기 | 모델요인=동작수행 어려움_몸 구부리거나 쭈그려 앉거나 무릎 꿇기 | 별칭=동작수행 어려움_몸 구부리거나 쭈그려 앉거나 무릎 꿇기 | 공간=주방 | 개선대상=작업대, 수납장 | 개선전략=작업대 및 수납 위치를 허리 높이로 설계·배치하여 바닥 수납 최소화하고 굽히거나 쪼그려야 하는 작업을 줄임 | 기대효과=굽힘·쪼그림 동작 감소로 일상 작업 수행의 신체적 부담 경감 | 근거유형=미분류 | 출처=What is the evidence to support home environmental adaptation in Parkinson's disease? A call for multidisciplinary interventions",검토필요_근거유형없음,원문 논문에서 연구설계를 확인한 뒤 evidence_score를 입력해야 함
E0009,single,인지기능_총점,,인지기능,,인지기능|인지기능_총점|인지저하,대표모델명_자동매핑,인지기능,침실,침실|거실|복도,"침실, 거실, 복도","바닥에 수평선 형태의 시각적 큐(폭 약 10 cm, 간격 약 30 cm) 또는 대비 표식을 설치하여 동결현상(freezing) 발생 지점에서 보행 유도","홈 기반 시각적 큐 사용이 보행속도·보폭 및 동결 현상 개선에 기여(논문에서 가정 내 큐잉이 gait, freezing, balance 개선 보고)","공간: 침실. 개선전략: 바닥에 수평선 형태의 시각적 큐(폭 약 10 cm, 간격 약 30 cm) 또는 대비 표식을 설치하여 동결현상(freezing) 발생 지점에서 보행 유도. 기대효과: 홈 기반 시각적 큐 사용이 보행속도·보폭 및 동결 현상 개선에 기여(논문에서 가정 내 큐잉이 gait, freezing, balance 개선 보고)",무작위 교차설계 임상시험(논문에서 RESCUE trial 인용),2차 인용 RCT 근거,2,0.667,Tier 2,TRUE,바닥 표시(시각적 큐),What is the evidence to support home environmental adaptation in Parkinson's disease? A call for multidisciplinary interventions,,미확인_0.46,10.1016/j.parkreldis.2015.08.025,https://doi.org/10.1016/j.parkreldis.2015.08.025,"위험요인=인지기능 | 모델요인=인지기능_총점 | 별칭=인지기능|인지기능_총점|인지저하 | 공간=침실|거실|복도 | 개선대상=바닥 표시(시각적 큐) | 개선전략=바닥에 수평선 형태의 시각적 큐(폭 약 10 cm, 간격 약 30 cm) 또는 대비 표식을 설치하여 동결현상(freezing) 발생 지점에서 보행 유도 | 기대효과=홈 기반 시각적 큐 사용이 보행속도·보폭 및 동결 현상 개선에 기여(논문에서 가정 내 큐잉이 gait, freezing, balance 개선 보고) | 근거유형=2차 인용 RCT 근거 | 출처=What is the evidence to support home environmental adaptation in Parkinson's disease? A call for multidisciplinary interventions",검토필요_2차인용,"해당 행의 원 출처가 직접 RCT인지, 다른 RCT를 인용한 문헌인지 확인 필요"
E0010,single,ADL,,ADL,,ADL|일상생활수행능력,대표모델명_자동매핑,ADL,침실,침실|거실|복도,"거실, 복도, 침실",실내의 문턱·높은 문턱·단차 및 불규칙한 바닥면을 제거해 평탄한 동선 확보하고 회전·조작을 위한 최소 공간(예: 문 앞·회전 지점 확보) 마련,주거 접근성 및 사용성(Usability) 향상으로 ADL 수행의 제약 완화(논문에서 P-E fit 문제와 ADL 제한 연관 보고),공간: 침실. 개선전략: 실내의 문턱·높은 문턱·단차 및 불규칙한 바닥면을 제거해 평탄한 동선 확보하고 회전·조작을 위한 최소 공간(예: 문 앞·회전 지점 확보) 마련. 기대효과: 주거 접근성 및 사용성(Usability) 향상으로 ADL 수행의 제약 완화(논문에서 P-E fit 문제와 ADL 제한 연관 보고),,미분류,,,검토 필요,FALSE,"문턱, 바닥",What is the evidence to support home environmental adaptation in Parkinson's disease? A call for multidisciplinary interventions,,미확인_0.46,10.1016/j.parkreldis.2015.08.025,https://doi.org/10.1016/j.parkreldis.2015.08.025,"위험요인=ADL | 모델요인=ADL | 별칭=ADL|일상생활수행능력 | 공간=침실|거실|복도 | 개선대상=문턱, 바닥 | 개선전략=실내의 문턱·높은 문턱·단차 및 불규칙한 바닥면을 제거해 평탄한 동선 확보하고 회전·조작을 위한 최소 공간(예: 문 앞·회전 지점 확보) 마련 | 기대효과=주거 접근성 및 사용성(Usability) 향상으로 ADL 수행의 제약 완화(논문에서 P-E fit 문제와 ADL 제한 연관 보고) | 근거유형=미분류 | 출처=What is the evidence to support home environmental adaptation in Parkinson's disease? A call for multidisciplinary interventions",검토필요_근거유형없음,원문 논문에서 연구설계를 확인한 뒤 evidence_score를 입력해야 함
